dates,Temperature_Deviations
1936M10,0.10
1936M11,0.19
1936M12,0.17
1937M01,0.00
1937M02,0.25
1937M03,-0.02
1937M04,0.06
1937M05,0.13
1937M06,0.17
1937M07,0.13
1937M08,0.20
1937M09,0.22
1937M10,0.28
1937M11,0.37
1937M12,0.13
1938M01,0.04
1938M02,0.21
1938M03,0.20
1938M04,0.17
1938M05,0.11
1938M06,0.03
1938M07,0.09
1938M08,0.04
1938M09,0.14
1938M10,0.37
1938M11,0.20
1938M12,-0.07
1939M01,0.00
1939M02,-0.12
1939M03,-0.25
1939M04,0.00
1939M05,0.07
1939M06,0.15
1939M07,0.02
1939M08,-0.06
1939M09,-0.06
1939M10,0.01
1939M11,0.01
1939M12,0.36
1940M01,-0.08
1940M02,0.06
1940M03,0.03
1940M04,0.08
1940M05,0.18
1940M06,0.22
1940M07,0.29
1940M08,0.17
1940M09,0.21
1940M10,0.17
1940M11,0.12
1940M12,0.39
1941M01,0.16
1941M02,0.39
1941M03,0.08
1941M04,0.16
1941M05,0.19
1941M06,0.20
1941M07,0.22
1941M08,0.20
1941M09,-0.11
1941M10,0.13
1941M11,0.04
1941M12,0.19
1942M01,0.36
1942M02,0.11
1942M03,0.10
1942M04,0.17
1942M05,0.17
1942M06,0.14
1942M07,0.06
1942M08,0.06
1942M09,0.13
1942M10,0.15
1942M11,0.24
1942M12,0.20
1943M01,-0.08
1943M02,0.07
1943M03,-0.07
1943M04,0.01
1943M05,0.04
1943M06,-0.12
1943M07,0.03
1943M08,-0.19
1943M09,-0.01
1943M10,0.29
1943M11,0.07
1943M12,0.23
1944M01,0.34
1944M02,0.24
1944M03,0.16
1944M04,0.07
1944M05,0.00
1944M06,0.04
1944M07,0.05
1944M08,0.12
1944M09,0.24
1944M10,0.38
1944M11,0.23
1944M12,0.03
1945M01,0.12
1945M02,0.05
1945M03,0.05
1945M04,0.27
1945M05,-0.13
1945M06,-0.05
1945M07,-0.06
1945M08,0.28
