"Fechas","Producción interna de acero","Exportación de acero","Importación de acero","Disponibilidades de acero","Producción de cemento","Exportaciones de cemento","Importaciones de cemento","Estadísticas Generales. Consumo aparente de cemento"
"MAR 2001",1447,535.4,867.8,1779.7,3406.54,125.552,241.264,3612.59
"ABR 2001",1464,481.4,900.5,1883.3,3391.33,126.726,245.441,3330.22
"MAY 2001",1567,536.5,986.3,2016.9,3586.60,108.171,282.869,3926.48
"JUN 2001",1432,508.9,845.1,1768.0,3566.82,126.015,387.095,3901.41
"JUL 2001",1145,443.4,815.0,1516.4,3687.05,123.925,283.399,3869.35
"AGO 2001",1311,317.1,574.8,1568.5,3421.80,116.964,286.696,3361.50
"SEP 2001",1481,454.3,872.6,1899.7,3389.94,138.581,299.769,3451.15
"OCT 2001",1520,590.4,1082.5,2011.8,3597.24,138.981,271.546,4009.31
"NOV 2001",1326,552.7,807.4,1580.9,3508.74,134.116,268.714,3679.10
"DIC 2001",1061,437.3,698.8,1322.4,3096.25,69.717,225.996,2746.13
"ENE 2002",1271,477.3,768.2,1561.8,2957.56,119.677,247.521,3499.14
"FEB 2002",1179,499.3,793.0,1472.4,3387.41,96.503,247.484,3611.32
"MAR 2002",1479,563.0,786.2,1702.1,3635.47,145.051,274.963,3368.79
"ABR 2002",1504,564.1,863.3,1802.9,3464.99,119.817,287.176,3920.42
"MAY 2002",1483,532.6,906.5,1857.4,3653.00,145.740,304.264,3939.34
"JUN 2002",1463,522.7,864.3,1804.3,3733.78,93.157,350.912,3755.08
"JUL 2002",1112,546.2,915.3,1481.1,3910.99,124.127,300.218,4251.71
"AGO 2002",1298,407.9,752.1,1642.4,3473.25,133.318,247.782,3322.26
"SEP 2002",1519,499.5,929.7,1949.7,3576.72,104.424,260.074,3755.23
"OCT 2002",1561,646.2,1077.5,1992.8,3818.82,145.782,230.461,4178.70
"NOV 2002",1363,495.8,962.4,1829.8,3657.00,97.107,234.983,3645.61
"DIC 2002",1030,478.2,783.5,1335.7,3118.67,92.861,187.995,2872.22
"ENE 2003",1139,478.7,955.2,1615.2,2866.51,64.630,161.930,3320.72
"FEB 2003",1244,502.0,888.1,1629.8,3436.57,121.981,199.307,3528.71
"MAR 2003",1602,542.1,876.4,1936.1,3974.87,94.012,242.778,4037.20
"ABR 2003",1566,554.6,889.7,1900.8,3785.01,96.108,231.369,3912.15
"MAY 2003",1492,558.9,1332.0,2265.6,4002.76,133.321,272.359,4140.88
"JUN 2003",1166,467.6,1441.3,2140.0,4043.32,91.707,239.470,4146.00
"JUL 2003",1002,480.0,1082.7,1604.9,4104.97,138.768,327.275,4482.66
"AGO 2003",1378,364.2,830.2,1844.5,3615.26,92.046,178.802,3260.94
"SEP 2003",1413,588.2,1026.3,1850.7,3740.06,125.556,187.215,4091.43
"OCT 2003",1628,663.9,1069.4,2033.2,3938.98,100.166,282.316,4216.04
"NOV 2003",1444,578.9,903.2,1768.4,3890.24,87.730,216.431,3890.69
"DIC 2003",1204,579.1,795.1,1419.8,3348.22,95.532,121.773,3195.82
"ENE 2004",1300,455.3,979.4,1823.9,3112.00,116.980,175.564,3421.53
"FEB 2004",1190,431.3,996.3,1755.4,3801.62,85.802,182.803,3754.92
"MAR 2004",1609,609.2,975.4,1975.6,4031.41,126.110,235.155,4304.59
"ABR 2004",1639,595.9,1066.7,2109.4,3775.80,151.238,188.130,3903.76
"MAY 2004",1711,542.1,942.6,2111.6,4175.66,159.466,199.996,4105.43
"JUN 2004",1569,609.7,1031.2,1990.9,4233.21,148.153,240.388,4471.37
"JUL 2004",1231,596.0,1014.0,1648.7,4316.86,105.481,254.733,4429.12
"AGO 2004",1508,368.0,757.1,1896.7,3692.75,148.135,186.052,3545.31
"SEP 2004",1512,528.1,1095.8,2079.9,3891.38,113.083,229.657,4290.86
"OCT 2004",1623,586.4,970.2,2006.5,3987.78,115.949,232.821,3950.69
"NOV 2004",1541,622.3,1176.2,2095.0,3982.34,148.435,240.519,4445.74
"DIC 2004",1251,491.3,988.4,1748.0,3592.68,98.777,204.793,3382.23
"ENE 2005",1524,474.2,995.1,2045.3,3445.86,114.854,166.271,3427.64
"FEB 2005",1408,573.8,1046.4,1880.2,3740.77,104.535,197.529,3864.83
"MAR 2005",1625,628.9,1119.3,2115.4,4203.55,154.510,267.463,4340.21
"ABR 2005",1644,557.7,1029.3,2115.8,4404.34,140.364,177.312,4703.95
"MAY 2005",1640,655.1,995.2,1979.8,4496.70,137.615,348.624,4710.61
"JUN 2005",1593,529.9,857.2,1920.0,4559.55,130.736,259.504,4774.82
"JUL 2005",1217,540.6,767.0,1443.1,4614.21,104.508,348.100,4514.80
"AGO 2005",1366,400.5,758.7,1724.0,4054.43,105.897,244.605,4104.22
"SEP 2005",1573,546.1,872.0,1898.8,4328.78,137.836,244.440,4612.51
"OCT 2005",1645,551.6,849.0,1942.4,4377.70,112.727,180.319,4208.40
"NOV 2005",1465,612.8,983.8,1835.6,4242.81,122.801,224.487,4557.72
"DIC 2005",1205,503.7,1030.4,1732.2,3843.27,80.696,230.338,3689.93
"ENE 2006",1276,530.1,1021.7,1767.6,3853.23,93.075,198.604,3957.43
"FEB 2006",1214,507.6,1127.2,1833.4,4149.49,108.098,231.631,4365.15
"MAR 2006",1709,606.5,1285.9,2387.9,4755.97,115.348,298.916,5296.03
"ABR 2006",1687,539.2,1114.8,2262.3,4487.39,94.499,313.730,4286.77
"MAY 2006",1788,624.4,1281.3,2444.8,4819.34,97.325,303.246,5179.23
"JUN 2006",1662,628.9,1269.0,2301.9,4832.08,93.689,311.597,5288.58
"JUL 2006",1344,502.2,1105.7,1947.5,4939.26,98.628,277.294,4937.42
"AGO 2006",1594,467.6,1135.0,2261.5,4349.65,74.642,273.234,4362.33
"SEP 2006",1674,565.5,1280.3,2388.5,4471.64,94.800,282.665,4691.01
"OCT 2006",1664,635.2,1303.9,2333.1,4619.43,104.591,273.444,4761.77
"NOV 2006",1467,615.3,1279.4,2131.0,4465.62,74.935,232.451,4883.06
"DIC 2006",1313,534.2,1027.7,1806.8,4305.17,77.224,167.623,3887.61
"ENE 2007",1425,572.6,1305.2,2157.3,4196.13,91.202,229.508,4541.84
"FEB 2007",1389,616.8,1206.6,1979.2,4249.46,83.289,274.374,4535.95
"MAR 2007",1761,620.0,1232.6,2374.0,5122.79,89.460,243.154,5261.77
"ABR 2007",1635,624.2,1391.7,2402.2,4524.60,94.817,277.789,4406.00
"MAY 2007",1753,680.6,1445.3,2517.3,4782.92,95.645,260.196,5071.63
"JUN 2007",1757,703.2,1499.7,2553.2,4938.92,105.377,185.635,5069.44
"JUL 2007",1340,741.5,1322.3,1920.5,4948.08,91.305,241.272,5130.64
"AGO 2007",1543,503.0,969.2,2008.8,4349.96,78.488,270.402,4264.65
"SEP 2007",1637,727.7,1341.6,2251.3,4433.87,90.664,246.213,4445.69
"OCT 2007",1773,662.2,1263.0,2373.9,4561.30,102.613,226.953,4967.35
"NOV 2007",1592,754.0,1086.4,1924.3,4564.61,93.434,221.138,4857.85
"DIC 2007",1395,564.0,920.0,1750.7,4047.83,74.990,176.984,3444.26
"ENE 2008",1570,622.6,1164.5,2111.7,3722.31,102.178,153.015,4189.54
"FEB 2008",1454,650.9,1217.4,2020.6,4252.35,90.596,159.754,4306.24
"MAR 2008",1852,659.5,1114.6,2307.6,4248.19,86.423,103.384,3934.07
"ABR 2008",1925,868.7,1222.4,2278.4,3946.26,100.097,173.311,4308.71
"MAY 2008",1980,827.6,1228.2,2380.5,3959.29,120.062,304.661,4002.23
"JUN 2008",1819,867.2,899.5,1850.8,3432.70,165.419,175.832,3392.01
"JUL 2008",1470,867.3,1104.9,1708.0,3769.95,111.941,177.978,4036.81
"AGO 2008",1719,701.5,849.5,1866.9,3275.67,90.664,91.449,2962.20
"SEP 2008",1688,859.7,1061.2,1889.5,3182.18,138.770,145.057,3351.97
"OCT 2008",1356,853.6,804.9,1307.1,3244.85,130.141,88.539,3272.61
"NOV 2008",1080,784.2,656.1,952.1,2959.38,125.171,106.311,2860.49
"DIC 2008",727,713.4,446.8,460.7,2090.28,88.337,64.576,2078.66
"ENE 2009",929,443.9,385.8,870.6,1848.67,104.752,48.177,1867.50
"FEB 2009",989,589.7,501.0,900.1,2279.27,119.041,42.781,2285.98
"MAR 2009",1189,636.2,415.8,968.2,2680.42,151.321,58.237,2543.68
"ABR 2009",1172,847.9,669.9,994.3,2357.05,155.019,51.522,2355.49
"MAY 2009",1311,821.7,638.6,1127.9,2760.92,107.945,81.336,2506.84
"JUN 2009",1182,776.9,575.3,980.5,2631.47,162.169,82.735,2728.98
"JUL 2009",929,660.9,585.8,853.4,2746.28,133.149,69.479,2854.36
"AGO 2009",1118,578.8,468.4,1007.2,2668.05,88.898,58.500,2388.96
"SEP 2009",1416,663.7,689.5,1442.2,2587.41,154.976,88.049,2628.38
"OCT 2009",1586,714.7,646.9,1518.0,2596.53,138.328,52.292,2563.06
"NOV 2009",1503,766.6,803.7,1540.3,2630.43,88.391,61.072,2559.87
"DIC 2009",1039,668.6,611.8,981.8,1718.09,77.728,34.536,1630.06
"ENE 2010",1342,631.4,670.6,1380.7,1536.35,114.597,47.777,1487.37
"FEB 2010",1326,686.7,729.6,1368.4,1798.65,166.873,47.976,1700.14
"MAR 2010",1616,861.0,794.2,1549.4,2063.02,172.697,67.470,2126.15
"ABR 2010",1596,930.9,766.6,1431.6,2262.42,290.677,57.829,2140.80
"MAY 2010",1646,814.7,756.8,1588.4,2650.83,189.264,59.362,2324.43
"JUN 2010",1433,902.6,799.4,1329.5,2525.12,286.556,71.651,2436.45
"JUL 2010",994,921.5,711.4,783.4,2671.53,249.397,47.316,2421.20
"AGO 2010",1226,645.8,532.6,1112.5,2400.33,242.153,36.555,2080.42
"SEP 2010",1389,805.8,781.9,1364.8,2207.00,232.209,47.238,2151.62
"OCT 2010",1419,934.9,799.4,1283.4,2314.38,212.474,61.384,2086.16
"NOV 2010",1337,839.3,625.8,1123.6,2111.19,192.815,48.662,1994.82
"DIC 2010",1021,721.1,720.2,1019.8,1620.84,178.634,61.092,1506.45
"ENE 2011",1356,656.7,691.8,1390.7,1683.40,138.369,21.038,1499.08
